pos,name,cost,score,team
D,Mustafi,5.1,3.02,Arsenal
D,Bellerín,5.5,2.91,Arsenal
D,Kolasinac,5.2,4.07,Arsenal
D,Maitland-Niles,4.5,4.19,Arsenal
D,Sokratis,4.8,6.63,Arsenal
D,Monreal,5.0,1.16,Arsenal
D,Koscielny,5.0,0,Arsenal
D,Mavropanos,4.3,0,Arsenal
D,Jenkinson,4.5,0,Arsenal
D,Holding,4.4,0.23,Arsenal
F,Aubameyang,11.1,17.8,Arsenal
F,Lacazette,9.4,9.13,Arsenal
F,Nketiah,4.4,1.41,Arsenal
G,Leno,5.0,10.54,Arsenal
M,Özil,7.3,5.9,Arsenal
M,Mkhitaryan,6.7,0.45,Arsenal
M,Xhaka,5.1,5.23,Arsenal
M,Torreira,4.7,4.9,Arsenal
M,Elneny,4.2,0,Arsenal
M,Guendouzi,4.2,4.9,Arsenal
D,David Luiz,5.7,9.19,Arsenal
G,Martínez,4.2,0,Arsenal
D,Chambers,4.3,4.89,Arsenal
M,Ceballos,5.2,3.89,Arsenal
D,Cédric,4.8,5.0,Arsenal
M,Pépé,9.3,9.79,Arsenal
M,Nelson,5.3,2.11,Arsenal
M,Willock,4.7,2.56,Arsenal
F,Martinelli,4.4,4.57,Arsenal
D,Tierney,5.3,0.58,Arsenal
M,Saka,4.7,4.78,Arsenal
M,Smith Rowe,4.3,0.45,Arsenal
F,John-Jules,4.4,0,Arsenal
D,Marí,4.8,0.81,Arsenal
D,El Mohamady,4.1,2.28,Aston Villa
D,Chester,4.2,0,Aston Villa
D,Taylor,4.2,1.94,Aston Villa
D,Hause,4.4,1.71,Aston Villa
F,Kodjia,5.4,0.45,Aston Villa
G,Nyland,4.3,0.31,Aston Villa
M,Hourihane,5.7,5.34,Aston Villa
M,Grealish,6.4,12.11,Aston Villa
M,El Ghazi,5.5,8.11,Aston Villa
M,McGinn,5.4,6.26,Aston Villa
M,Green,4.8,0,Aston Villa
M,Bjarnason,4.5,0,Aston Villa
M,Davis,4.3,1.13,Aston Villa
M,Lansbury,4.4,1.13,Aston Villa
M,Jota,5.8,1.54,Aston Villa
G,Heaton,4.3,6.0,Aston Villa
M,Drinkwater,4.4,0.62,Aston Villa
D,Targett,4.4,6.85,Aston Villa
F,Wesley,5.4,6.07,Aston Villa
G,Steer,4.3,0.1,Aston Villa
D,Mings,4.4,6.39,Aston Villa
D,Konsa,4.3,3.42,Aston Villa
D,Engels,4.3,4.79,Aston Villa
D,Guilbert,4.4,5.48,Aston Villa
M,Trézéguet,5.2,5.95,Aston Villa
M,Douglas Luiz,4.4,7.29,Aston Villa
G,Kalinic,4.2,0,Aston Villa
M,Nakamba,4.4,3.59,Aston Villa
M,Vassilev,4.5,0.21,Aston Villa
G,Reina,4.5,1.93,Aston Villa
F,Samatta,5.8,1.27,Aston Villa
F,Bastón,5.5,0.18,Aston Villa
D,Steve Cook,5.0,4.04,Bournemouth
D,Aké,4.8,5.89,Bournemouth
D,Daniels,4.2,0.26,Bournemouth
D,Mepham,4.3,2.29,Bournemouth
D,Francis,4.4,1.41,Bournemouth
D,Adam Smith,4.3,3.43,Bournemouth
D,Kelly,4.4,0,Bournemouth
D,Rico,4.2,5.36,Bournemouth
D,Simpson,3.9,0.35,Bournemouth
F,Callum Wilson,7.4,8.35,Bournemouth
F,King,6.1,6.07,Bournemouth
F,Solanke,5.1,3.6,Bournemouth
F,Surridge,4.3,0.09,Bournemouth
G,Begovic,4.2,0,Bournemouth
G,Boruc,4.2,0,Bournemouth
G,Travers,4.2,0.08,Bournemouth
M,Fraser,6.8,6.44,Bournemouth
M,Brooks,6.2,0,Bournemouth
M,Stanislas,5.9,0.71,Bournemouth
M,Ibe,4.6,0.18,Bournemouth
M,Lewis Cook,5.0,2.82,Bournemouth
M,Surman,4.7,0.53,Bournemouth
M,Gosling,4.9,3.44,Bournemouth
M,Lerma,4.8,4.23,Bournemouth
D,Stacey,4.3,2.64,Bournemouth
M,Billing,5.0,5.29,Bournemouth
M,Danjuma,5.8,1.59,Bournemouth
G,Ramsdale,4.5,8.07,Bournemouth
M,Harry Wilson,5.8,7.41,Bournemouth
M,Saydee,4.5,0,Bournemouth
M,Kilkenny,4.5,0,Bournemouth
M,Dobre,4.4,0,Bournemouth
D,Duffy,4.8,3.56,Brighton
D,Montoya,4.3,5.93,Brighton
D,Bernardo,4.3,1.78,Brighton
D,Balogun,4.3,0,Brighton
D,Bong,4.2,0.3,Brighton
D,Dunk,4.7,8.9,Brighton
D,Clarke,4.3,0,Brighton
F,Murray,5.4,2.69,Brighton
F,Locadia,5.2,0.28,Brighton
F,Andone,4.7,0.46,Brighton
G,Ryan,4.7,9.51,Brighton
G,Button,3.9,0,Brighton
M,Groß,6.2,7.41,Brighton
M,Jahanbakhsh,5.8,2.79,Brighton
M,Izquierdo,5.4,0,Brighton
M,Knockaert,5.3,0,Brighton
M,Bissouma,5.0,2.04,Brighton
M,Pröpper,4.8,6.87,Brighton
M,March,4.6,3.22,Brighton
M,Kayal,4.3,0,Brighton
M,Stephens,4.4,5.15,Brighton
M,Trossard,5.8,8.05,Brighton
D,Burn,4.5,5.63,Brighton
D,Webster,4.5,6.82,Brighton
F,Maupay,5.7,9.38,Brighton
M,Mooy,4.8,6.87,Brighton
F,Connolly,4.2,3.81,Brighton
D,Baluta,4.0,0,Brighton
M,Alzate,4.5,3.54,Brighton
D,Schelotto,4.0,0.69,Brighton
D,Lamptey,4.0,0.1,Brighton
M,Mac Allister,5.5,0.11,Brighton
D,Mee,5.0,8.31,Burnley
D,Tarkowski,5.2,9.64,Burnley
D,Lowton,4.2,3.92,Burnley
D,Bardsley,4.3,4.58,Burnley
D,Taylor,4.3,5.25,Burnley
D,Long,4.3,0.1,Burnley
D,Gibson,3.9,0,Burnley
F,Barnes,6.1,5.09,Burnley
F,Wood,6.1,9.09,Burnley
F,Vydra,5.3,2.17,Burnley
G,Pope,4.9,10.11,Burnley
G,Hart,4.2,0,Burnley
M,Gudmundsson,5.9,2.06,Burnley
M,McNeil,6.1,10.21,Burnley
M,Brady,5.5,2.99,Burnley
M,Defour,5.5,0,Burnley
M,Hendrick,5.4,6.91,Burnley
M,Westwood,5.5,9.38,Burnley
M,Cork,4.9,6.39,Burnley
M,Lennon,4.6,1.55,Burnley
D,Pieters,4.2,4.01,Burnley
F,Rodriguez,5.7,5.42,Burnley
G,Peacock-Farrell,4.3,0,Burnley
M,Goodridge,4.5,0,Burnley
D,Driscoll-Glennon,3.9,0,Burnley
D,Koiki,4.0,0,Burnley
M,Brownhill,4.8,0.1,Burnley
D,Alonso,6.2,8.24,Chelsea
D,Rüdiger,6.0,4.6,Chelsea
D,Azpilicueta,5.9,9.42,Chelsea
D,Emerson,5.4,1.93,Chelsea
D,Christensen,4.8,2.35,Chelsea
D,Zappacosta,4.2,0,Chelsea
F,Giroud,6.6,2.5,Chelsea
G,Kepa,5.4,6.22,Chelsea
G,Caballero,4.8,0.63,Chelsea
M,Willian,7.0,11.31,Chelsea
M,Pedro,6.8,3.0,Chelsea
M,Loftus-Cheek,6.3,0,Chelsea
M,Hudson-Odoi,5.2,4.51,Chelsea
M,Barkley,5.7,3.7,Chelsea
M,Jorginho,4.9,8.11,Chelsea
M,Kanté,5.0,4.91,Chelsea
M,Ampadu,4.3,0,Chelsea
M,Pulisic,6.9,7.01,Chelsea
M,Kovacic,5.3,5.81,Chelsea
D,Zouma,4.7,4.49,Chelsea
F,Abraham,7.5,11.72,Chelsea
F,Batshuayi,6.6,2.5,Chelsea
M,Kenedy,5.2,0,Chelsea
M,Mount,6.2,11.11,Chelsea
D,James,5.1,4.82,Chelsea
D,Tomori,4.2,5.14,Chelsea
M,Gilmour,4.5,0.5,Chelsea
D,Guehi,3.9,0,Chelsea
M,Anjorin,4.5,0.1,Chelsea
F,Broja,4.5,0.09,Chelsea
D,van Aanholt,5.6,7.94,Crystal Palace
D,Tomkins,5.0,4.38,Crystal Palace
D,Sakho,5.0,0.64,Crystal Palace
D,Ward,4.3,5.66,Crystal Palace
D,Dann,4.3,3.38,Crystal Palace
D,Kelly,4.1,5.84,Crystal Palace
F,Benteke,5.7,3.35,Crystal Palace
F,Wickham,4.3,1.52,Crystal Palace
G,Guaita,5.0,9.35,Crystal Palace
G,Hennessey,4.2,0.48,Crystal Palace
M,Zaha,6.7,8.4,Crystal Palace
M,Milivojevic,6.7,5.48,Crystal Palace
M,Townsend,5.6,3.01,Crystal Palace
M,Meyer,5.2,1.59,Crystal Palace
M,Schlupp,5.4,3.54,Crystal Palace
M,McArthur,5.2,6.63,Crystal Palace
M,Kouyaté,4.9,6.37,Crystal Palace
M,Dreher,4.3,0,Crystal Palace
